18 73 
16 17 71 
7 12 97 
9 11 30 
7 8 104 
5 16 43 
4 12 63 
2 7 99 
2 10 53 
6 9 80 
14 15 85 
7 11 26 
0 2 81 
0 6 67 
1 17 74 
9 14 137 
11 12 114 
0 12 69 
3 14 48 
9 15 52 
6 12 91 
3 16 81 
13 15 84 
11 16 87 
8 10 33 
10 13 13 
8 11 69 
6 13 46 
2 16 54 
10 14 72 
5 17 67 
12 17 102 
0 3 69 
0 16 72 
4 6 78 
9 10 62 
8 9 103 
10 15 71 
1 3 50 
2 6 90 
11 17 58 
8 13 47 
0 9 42 
13 17 72 
3 7 83 
5 14 98 
14 16 26 
7 14 62 
6 7 61 
11 14 76 
6 16 52 
7 10 33 
0 11 108 
6 14 85 
0 4 85 
3 13 106 
10 11 64 
1 8 87 
0 5 48 
8 12 95 
3 8 37 
7 17 52 
1 10 70 
1 15 47 
0 10 103 
4 10 74 
2 12 67 
2 9 70 
3 15 106 
4 16 45 
12 14 77 
4 9 67 
12 15 120 
3 4 101 
