27 90 
14 18 129 
2 5 102 
7 8 171 
11 18 58 
1 17 59 
0 10 55 
5 8 112 
7 24 98 
0 3 56 
3 13 149 
0 22 106 
0 24 86 
0 7 58 
7 17 176 
19 21 129 
6 24 60 
12 21 153 
7 18 153 
4 20 115 
14 16 127 
23 26 90 
14 15 22 
22 23 152 
0 15 155 
5 17 80 
21 25 79 
9 22 105 
1 8 135 
1 21 131 
18 23 137 
16 25 50 
16 24 106 
3 24 145 
16 21 126 
13 14 61 
10 21 84 
2 22 59 
5 26 115 
2 15 149 
7 11 107 
2 9 109 
12 26 182 
7 22 143 
0 12 102 
7 21 61 
4 19 145 
15 24 85 
10 17 145 
10 25 80 
20 25 102 
9 14 112 
2 12 115 
1 13 107 
10 14 89 
11 12 45 
0 14 140 
15 18 98 
11 19 122 
1 5 110 
2 13 68 
3 6 135 
2 7 88 
5 19 72 
3 9 101 
10 11 106 
10 24 189 
1 24 115 
10 22 137 
2 21 174 
5 14 75 
11 22 183 
2 20 34 
1 9 179 
6 19 89 
1 3 73 
1 4 132 
5 15 88 
1 7 152 
12 20 112 
3 25 142 
1 14 158 
10 16 110 
13 18 156 
2 3 107 
8 24 76 
2 4 152 
12 18 28 
4 6 78 
0 13 87 
10 23 36 
