20 146 
12 14 70 
0 13 35 
15 17 99 
4 15 98 
6 10 79 
0 16 72 
2 16 102 
9 13 108 
1 9 50 
11 15 85 
1 16 80 
6 11 117 
6 19 66 
7 13 102 
1 18 85 
0 12 135 
6 17 29 
8 10 67 
0 8 91 
3 5 70 
5 6 76 
17 18 106 
1 13 66 
14 16 66 
13 16 104 
11 17 122 
2 14 103 
18 19 123 
3 19 105 
2 9 107 
10 19 63 
3 16 112 
5 15 104 
1 11 141 
9 19 107 
4 5 88 
13 15 102 
8 19 114 
2 11 61 
6 15 91 
2 6 32 
14 19 86 
0 19 74 
6 18 99 
7 15 107 
1 4 66 
16 17 124 
1 15 71 
2 13 102 
0 15 99 
11 18 115 
2 15 162 
10 11 84 
8 11 35 
3 18 92 
5 19 65 
11 16 47 
1 12 29 
0 14 49 
7 16 97 
4 10 143 
4 7 98 
7 17 61 
11 12 79 
9 10 64 
3 10 112 
14 15 121 
10 15 75 
3 4 94 
12 18 26 
6 9 120 
9 11 63 
8 13 99 
6 16 78 
5 7 59 
0 11 80 
5 13 125 
9 18 98 
12 13 75 
0 9 80 
5 16 32 
10 18 82 
0 18 85 
5 18 113 
1 5 86 
6 7 107 
13 17 66 
3 7 20 
6 13 54 
11 14 47 
12 19 57 
8 14 90 
9 12 73 
1 17 55 
3 8 34 
10 16 98 
1 14 33 
16 19 67 
0 1 58 
0 10 75 
8 16 97 
4 11 89 
7 11 79 
14 18 58 
3 14 82 
2 12 75 
3 15 85 
12 16 80 
7 8 109 
7 9 103 
15 18 121 
2 19 79 
4 14 129 
6 12 120 
9 14 46 
4 9 111 
1 7 74 
11 13 74 
10 14 79 
1 6 101 
7 18 121 
5 12 97 
5 8 85 
6 14 75 
7 19 117 
4 8 66 
7 12 117 
0 5 120 
9 16 119 
2 4 66 
4 16 119 
15 19 62 
4 6 52 
3 6 50 
3 9 33 
17 19 40 
13 19 90 
13 18 77 
5 10 119 
12 15 78 
12 17 76 
10 17 81 
3 12 7 
1 3 56 
4 12 73 
0 2 109 
