29 249 
7 24 104 
4 28 80 
15 16 122 
4 9 148 
21 24 97 
11 21 67 
12 15 71 
8 23 79 
3 7 187 
5 28 134 
3 19 128 
10 20 111 
11 19 131 
9 16 107 
10 15 74 
20 24 109 
10 21 107 
10 28 153 
0 19 49 
0 16 98 
7 25 69 
9 19 166 
15 25 187 
11 17 163 
2 8 135 
2 12 118 
13 14 39 
7 23 167 
2 9 169 
3 21 94 
8 18 104 
2 20 80 
5 9 70 
15 23 156 
0 6 172 
11 12 182 
6 28 84 
11 13 147 
3 27 126 
13 18 200 
0 24 129 
1 16 139 
2 28 109 
0 1 137 
14 21 130 
4 6 142 
11 27 108 
2 25 161 
6 18 164 
3 28 140 
0 9 166 
20 22 51 
18 20 184 
26 28 185 
16 26 153 
1 27 198 
6 10 71 
4 13 163 
1 10 71 
4 25 78 
20 25 88 
13 20 96 
0 8 182 
4 19 123 
1 20 118 
24 25 118 
14 24 143 
5 11 129 
7 12 100 
9 24 157 
12 24 104 
5 7 174 
9 23 98 
1 3 115 
23 27 226 
2 10 56 
17 25 114 
14 28 119 
8 20 71 
6 16 139 
0 21 94 
19 22 128 
4 17 67 
20 21 90 
0 28 221 
5 14 79 
2 11 100 
25 26 119 
1 11 54 
5 15 173 
16 23 200 
18 26 83 
8 13 149 
7 19 121 
14 20 41 
12 21 132 
6 17 153 
7 8 109 
20 28 119 
14 25 94 
18 23 113 
8 26 101 
12 17 138 
11 18 81 
6 25 153 
19 28 111 
4 16 152 
13 24 185 
7 9 166 
14 23 191 
18 21 151 
14 18 129 
6 11 128 
8 9 116 
21 22 152 
10 22 172 
11 20 82 
5 19 102 
17 20 200 
17 27 231 
12 20 163 
10 11 150 
6 12 105 
14 16 140 
7 10 156 
15 24 75 
1 24 87 
2 5 75 
6 20 141 
13 17 139 
7 13 116 
0 4 256 
4 12 168 
7 11 78 
1 2 116 
7 18 128 
15 22 76 
9 17 128 
7 17 94 
13 21 138 
3 17 125 
7 21 141 
7 27 136 
17 19 129 
16 22 123 
2 22 131 
12 13 100 
24 26 60 
6 9 155 
0 18 101 
1 9 54 
10 16 61 
3 15 28 
27 28 61 
0 11 113 
11 25 153 
7 20 129 
19 21 106 
18 22 105 
0 23 147 
3 12 110 
10 26 162 
3 9 107 
2 15 143 
5 10 72 
9 18 169 
6 7 170 
12 16 176 
4 5 187 
8 15 85 
8 25 49 
8 28 136 
0 22 87 
20 26 172 
9 15 162 
11 15 122 
6 27 124 
11 16 112 
1 12 119 
20 27 138 
9 10 106 
6 13 139 
2 3 123 
3 26 51 
5 8 172 
24 28 69 
17 28 183 
8 24 110 
1 14 117 
4 21 71 
4 23 142 
3 20 135 
25 28 155 
14 26 126 
5 16 166 
23 26 83 
1 6 106 
12 27 158 
6 8 114 
4 27 169 
5 20 97 
9 27 122 
4 22 136 
9 20 138 
15 27 135 
1 19 85 
1 5 151 
14 19 128 
0 27 157 
4 14 169 
14 15 110 
12 25 89 
9 28 173 
23 28 109 
16 19 44 
9 22 158 
2 19 136 
1 17 150 
14 27 116 
10 24 88 
15 20 154 
2 18 131 
2 23 119 
11 24 138 
12 19 221 
5 17 144 
19 23 107 
3 5 123 
5 22 181 
9 11 85 
9 14 149 
2 27 118 
1 7 84 
13 23 135 
17 22 219 
5 18 199 
8 10 75 
1 18 147 
8 12 156 
16 24 105 
20 23 157 
4 10 99 
0 2 160 
12 22 210 
5 23 54 
0 13 165 
6 23 125 
15 26 110 
9 26 174 
