25 51 
12 13 90 
19 24 80 
14 19 154 
5 18 130 
6 8 114 
3 19 105 
4 15 101 
11 17 139 
2 15 118 
1 16 186 
14 24 126 
19 23 95 
4 12 93 
15 24 86 
13 21 116 
6 13 137 
6 21 65 
17 22 146 
9 17 133 
16 19 99 
1 22 80 
0 11 139 
12 17 130 
20 21 71 
1 20 109 
4 7 91 
8 17 128 
7 12 52 
0 4 116 
7 19 51 
16 18 86 
2 21 56 
5 9 145 
14 17 95 
5 16 93 
10 21 111 
1 2 59 
8 21 115 
2 7 121 
12 14 105 
22 24 102 
9 19 55 
13 15 129 
2 12 101 
17 21 113 
1 6 120 
5 15 107 
17 20 64 
3 13 105 
19 22 86 
13 19 128 
